"date","EC"
"2020-12-08",9.999
"2020-12-15",9.999
"2020-12-28",0.016
"2021-01-04",9.999
"2021-01-11",0.005
"2021-01-21",0.001
"2021-01-26",0.005
"2021-02-02",9.999
"2021-02-08",0.01
"2021-02-15",0.014
"2021-02-22",0.008
"2021-03-01",0.036
"2021-03-08",0.037
"2021-03-15",9.999
"2021-03-22",0.012
"2021-03-29",0.008
"2021-04-05",0.019
"2021-04-12",0.01
"2021-04-19",0.007
"2021-04-26",0.012
"2021-05-03",9.999
"2021-05-10",9.999
"2021-05-17",9.999
"2021-05-25",0.008
"2021-05-31",0.003
"2021-06-07",0.002
"2021-06-14",0.001
"2021-06-21",0.003
"2021-06-28",9.999
"2021-07-05",0.001
"2021-07-12",0.004
"2021-07-19",0.002
"2021-07-26",0.004
"2021-08-02",0.002
"2021-08-09",0.022
"2021-08-16",0.007
"2021-08-23",0.005
"2021-08-30",0.004
"2021-09-06",0.007
"2021-09-13",0.002
"2021-09-20",0.002
"2021-09-27",9.999
"2021-10-04",9.999
"2021-10-11",0.002
"2021-10-18",0.002
"2021-10-25",0.003
"2021-11-01",9.999
"2021-11-08",9.999
"2021-11-15",9.999
"2021-11-22",9.999
"2021-11-29",9.999
"2021-12-06",9.999
"2021-12-14",0.002
"2021-12-20",0.014
"2021-12-27",0.026
"2022-01-04",0.004
"2022-01-10",0.027
"2022-01-17",0.032
"2022-01-27",0.098
"2022-01-31",0.028
"2022-02-07",0.036
"2022-02-14",0.031
"2022-02-21",0.045
"2022-02-28",0.022
"2022-03-07",0.026
"2022-03-14",9.999
"2022-03-22",0.051
"2022-03-29",0.03
"2022-04-05",0.048
"2022-04-12",0.01
"2022-04-19",0.01
"2022-04-26",9.999
"2022-05-03",9.999
"2022-05-11",0.018
"2022-05-18",0.01
"2022-05-25",0.023
"2022-06-01",0.013
"2022-06-08",0.007
"2022-06-15",0.003
"2022-06-22",0.005
"2022-06-29",0.003
"2022-07-13",0.008
"2022-07-20",0.009
"2022-07-27",0.01
"2022-08-03",0.004
"2022-08-10",0.003
"2022-08-17",0.001
"2022-08-24",0.001
"2022-08-31",0.001
"2022-09-07",0.001
"2022-09-14",0
"2022-09-21",0.004
"2022-09-28",0.007
"2022-10-05",0.002
"2022-10-12",0.004
"2022-10-19",9.999
"2022-10-26",0.001
"2022-11-02",0.001
"2022-11-09",0.001
"2022-11-16",9.999
"2022-11-22",0.001
"2022-11-30",9.999
"2022-12-06",0.005
"2022-12-13",0.025
"2022-12-20",0.022
"2022-12-27",9.999
