"date","BC","Dust","OC","SO4","SS","PM25"
1994-07-01,2.5297895105894e-07,8.40468223099257e-06,2.61616081040561e-06,1.26180963461754e-05,3.79670792017221e-06,2.76886262588048e-05
1994-07-02,2.47355815125385e-07,8.05029262176072e-06,2.53833019623866e-06,1.24050060957692e-05,3.56614103830776e-06,2.68071257672017e-05
1994-07-03,2.5942631902029e-07,8.53525322222234e-06,2.54202248961667e-06,1.27380516991881e-05,3.35606846085763e-06,2.7430822190905e-05
1994-07-04,2.4910082530664e-07,8.59238218454167e-06,2.2438831168116e-06,1.28303287481622e-05,3.96850047020832e-06,2.78841953450305e-05
1994-07-05,2.32662712487986e-07,8.30797240419367e-06,1.99465185433143e-06,1.28959587434444e-05,3.72800655623334e-06,2.71592522706908e-05
1994-07-06,2.3036075578665e-07,8.45614457621527e-06,1.97842851653809e-06,1.2782146669176e-05,3.98441232765088e-06,2.74314928453669e-05
1994-07-07,2.1603050636482e-07,8.23356689069961e-06,2.03734693530165e-06,1.26535828975773e-05,4.48789958327951e-06,2.76284268132229e-05
1994-07-08,2.03186502262616e-07,7.57332758635184e-06,2.01536679040415e-06,1.26622991439485e-05,5.53855440829395e-06,2.7992734431261e-05
1994-07-09,2.15516093485103e-07,7.84832905205499e-06,2.35597821134893e-06,1.29001267619433e-05,4.60612652847591e-06,2.79260766473083e-05
1994-07-10,2.26307706375103e-07,7.81747790971784e-06,2.47776188357801e-06,1.30562208747978e-05,3.54601908601931e-06,2.7123787460488e-05
1994-07-11,2.28433726336666e-07,7.20663588197273e-06,2.27040280073547e-06,1.29850398872409e-05,2.70256767882022e-06,2.53930799751059e-05
1994-07-12,2.37772034386744e-07,6.74981489249414e-06,2.04610176975904e-06,1.29749270253876e-05,2.32980057330025e-06,2.43384162953277e-05
1994-07-13,2.23275906785953e-07,6.56623506382624e-06,1.76337503966771e-06,1.24148885294639e-05,2.21257146275196e-06,2.31803460024957e-05
1994-07-14,2.33499857669452e-07,6.68643534041293e-06,1.87745472775637e-06,1.23095736604434e-05,2.06861700040811e-06,2.31755805866902e-05
1994-07-15,2.4139638601107e-07,6.27787743170475e-06,2.10907872667987e-06,1.26632592322626e-05,3.60001754434497e-06,2.48916293210033e-05
1994-07-16,2.38154373435428e-07,6.22114359625469e-06,2.43183178678034e-06,1.23621228810165e-05,3.63693918153251e-06,2.48901918190195e-05
1994-07-17,2.32036229802112e-07,6.08576358407668e-06,2.45082931160265e-06,1.20888426102574e-05,3.35274333497307e-06,2.42102150707119e-05
1994-07-18,2.22870031276328e-07,6.13007320385502e-06,2.19193600795182e-06,1.19798705355306e-05,2.69585260025299e-06,2.32206023788667e-05
1994-07-19,2.50218528410446e-07,6.45864837484347e-06,2.63237480606278e-06,1.18932733545108e-05,1.93404894787547e-06,2.3168564011703e-05
1994-07-20,2.7878310296312e-07,6.8835954523587e-06,3.11451420314789e-06,1.1991011756813e-05,1.35842341772693e-06,2.36263279330096e-05
1994-07-21,2.94868431614934e-07,6.95210647077527e-06,3.22501622429108e-06,1.22974179810366e-05,8.59984237106064e-07,2.36293933448239e-05
1994-07-22,2.98991815617034e-07,6.33938063494169e-06,3.36641764786698e-06,1.21556162119577e-05,1.12310547862221e-06,2.32835117890056e-05
1994-07-23,2.73983524820915e-07,5.5409101953506e-06,3.04544609887471e-06,1.19401348179452e-05,1.56227290800103e-06,2.23627475449925e-05
1994-07-24,2.87934690370459e-07,5.48409308830144e-06,3.27182863863794e-06,1.21321874963233e-05,1.19637868309954e-06,2.23724225967327e-05
1994-07-25,3.10669200012377e-07,5.506334775735e-06,3.32143073896836e-06,1.26206311735587e-05,9.35485814697334e-07,2.26945517029718e-05
1994-07-26,2.89777771203319e-07,4.9660706187718e-06,2.84718464163071e-06,1.23803056934342e-05,2.19969533371926e-06,2.26830340587593e-05
1994-07-27,2.54464571310123e-07,5.08969266938205e-06,2.49109351958702e-06,1.20327519600043e-05,2.37424716699319e-06,2.22422498872767e-05
1994-07-28,2.36884035600376e-07,5.45922327657029e-06,2.43738608313455e-06,1.18983906204003e-05,2.17522196215854e-06,2.22071059778641e-05
1994-07-29,2.27197286751904e-07,5.83963175709882e-06,2.30418542991918e-06,1.16738738483741e-05,1.57212440201444e-06,2.16170127241585e-05
1994-07-30,2.41984296087712e-07,6.7834850900473e-06,2.16672094128397e-06,1.19688606756416e-05,1.48332064822432e-06,2.26443716512849e-05
1994-07-31,2.73649067582867e-07,6.6426710461311e-06,2.48077430046422e-06,1.23990757059353e-05,1.77935936984497e-06,2.35755294899584e-05
1994-08-01,3.16039973460629e-07,8.53602656272869e-06,3.04024524627239e-06,1.28879974741921e-05,1.74360000678453e-06,2.65239092634383e-05
1994-08-02,3.14216644474593e-07,9.3698318320631e-06,3.18893777188723e-06,1.24465828394104e-05,1.19170734723321e-06,2.65112764350685e-05
1994-08-03,3.05618728280138e-07,9.54318403070609e-06,3.13578183469827e-06,1.18478243693428e-05,1.84971845095501e-06,2.66821274139823e-05
1994-08-04,2.90581063329967e-07,8.88838035037107e-06,2.9273571587011e-06,1.15239358303777e-05,2.32597513611644e-06,2.59562295388963e-05
1994-08-05,2.52227414584634e-07,8.06698926851282e-06,2.36673947700955e-06,1.13555293746412e-05,6.8618015973591e-06,2.89032871321073e-05
1994-08-06,2.43545858549223e-07,6.97199293297346e-06,2.14679148187763e-06,1.14040131877637e-05,1.26824676623747e-05,3.34488111235387e-05
1994-08-07,2.50281885088198e-07,7.81225327901589e-06,2.32841175454668e-06,1.15964892194188e-05,9.33696870337909e-06,3.13244048414487e-05
1994-08-08,2.25030852040542e-07,7.26091620523271e-06,2.08830401086127e-06,1.13481675504708e-05,1.23609281513504e-05,3.32833467699557e-05
1994-08-09,2.21814852285059e-07,7.6734849218882e-06,2.11476996736032e-06,1.11130679683508e-05,1.04358822775936e-05,3.15590199874779e-05
1994-08-10,2.3086720022636e-07,8.60319181506897e-06,2.21874825816742e-06,1.10699836191868e-05,7.92485881395802e-06,3.00476497066076e-05
1994-08-11,2.36109712685275e-07,9.72355765303443e-06,2.15217128986593e-06,1.10973670718638e-05,4.73101925516438e-06,2.79402249826138e-05
1994-08-12,2.44228932786815e-07,1.11671636392528e-05,1.97991792840199e-06,1.1122077237496e-05,3.43390986887746e-06,2.7947297606815e-05
1994-08-13,2.35927493813964e-07,1.09779861342988e-05,1.7784178533044e-06,1.10493917514718e-05,3.04623078405028e-06,2.70879540169392e-05
1994-08-14,2.15600326315588e-07,1.0487123915841e-05,1.51705557799573e-06,1.10658576206918e-05,3.51840078167631e-06,2.68040382225205e-05
1994-08-15,2.11743119903928e-07,1.02546705569834e-05,1.52068600489866e-06,1.09279604025643e-05,2.97805003422395e-06,2.58931101185742e-05
1994-08-16,2.22480662940751e-07,9.7106372955371e-06,1.69271402700826e-06,1.06737424534532e-05,2.18261094711531e-06,2.44821853860546e-05
1994-08-17,2.36689330064395e-07,9.28469145209154e-06,1.90055126781874e-06,1.05619444956312e-05,1.38428828676406e-06,2.33681648323699e-05
1994-08-18,2.50174703404058e-07,9.28952246048931e-06,2.0029695914156e-06,1.0558800179889e-05,1.34036909204484e-06,2.34418360272428e-05
1994-08-19,2.68939080630736e-07,9.123635991917e-06,2.05018417089733e-06,1.06529132425317e-05,1.25916337812552e-06,2.33548358641023e-05
1994-08-20,2.92163803743778e-07,8.74156617496913e-06,2.38352019449314e-06,1.06325285807662e-05,1.55025802510131e-06,2.36000367790735e-05
1994-08-21,2.77999191557735e-07,8.56724225725007e-06,2.19049239513954e-06,1.03813083659832e-05,1.42700946074156e-06,2.28440516706721e-05
1994-08-22,2.63385263137277e-07,7.9963317235959e-06,2.06495288978711e-06,1.04089048330043e-05,1.72834042051344e-06,2.2461915130038e-05
1994-08-23,2.39137976064423e-07,7.46498490721747e-06,1.68861330879733e-06,1.05313079989886e-05,2.17029241789403e-06,2.20943366089619e-05
1994-08-24,2.41111115599463e-07,8.09844321114826e-06,1.57640274328662e-06,1.07012640282483e-05,1.92713084250728e-06,2.25443519407899e-05
1994-08-25,2.49666426015966e-07,8.5788694938497e-06,1.67259495088555e-06,1.02964170263563e-05,2.68453379499895e-06,2.34820816921065e-05
1994-08-26,2.48323171832796e-07,7.89028448724605e-06,1.80184331088915e-06,1.01948891367536e-05,3.74373247069303e-06,2.38790725774146e-05
1994-08-27,2.31931883298771e-07,7.01727840772497e-06,1.6631616272512e-06,1.03104974676076e-05,5.18166047614527e-06,2.44045298620278e-05
1994-08-28,2.0233757018254e-07,6.88004990241977e-06,1.21510294274311e-06,1.02271482980877e-05,8.64189375225143e-06,2.71665324656846e-05
1994-08-29,1.88231720471456e-07,6.84169742694635e-06,1.13134210294671e-06,1.03508770730416e-05,1.23384895317699e-05,3.0850637855176e-05
1994-08-30,1.89601663028405e-07,6.27039256029647e-06,1.12785157087057e-06,1.02612400631814e-05,1.10427697609277e-05,2.88918556183045e-05
1994-08-31,2.04715301463819e-07,6.28454470244545e-06,1.12917623151857e-06,9.9418950340205e-06,7.1933878289119e-06,2.47537190983602e-05
1994-09-01,2.05723090513695e-07,5.66914294556472e-06,9.41206422168013e-07,9.35108981290077e-06,5.09572879321691e-06,2.12628910643641e-05
1994-09-02,2.22350147622533e-07,5.60072827861051e-06,9.54212097065731e-07,9.30433519517819e-06,3.70251066095511e-06,1.97841363794321e-05
1994-09-03,2.37601396330741e-07,5.64847824825933e-06,1.0026342666129e-06,9.33763796797213e-06,1.73706878859235e-06,1.79634206677675e-05
1994-09-04,2.43963455417707e-07,5.65985294578222e-06,1.06284649878982e-06,9.22930751717788e-06,1.78970202858009e-06,1.79856724457477e-05
1994-09-05,2.33545909821764e-07,6.05196562300065e-06,1.02934551584693e-06,9.14019964071416e-06,3.91828413556241e-06,2.03733408249459e-05
1994-09-06,2.35760794466057e-07,6.48104058603874e-06,1.05137585523625e-06,9.26144388726601e-06,3.87425104284894e-06,2.0903872165856e-05
1994-09-07,2.34472396329403e-07,6.63390218011767e-06,1.02707743747587e-06,9.22317237380743e-06,2.78418051707064e-06,1.9902804904801e-05
1994-09-08,2.33260094426663e-07,7.17334234911509e-06,1.03661362111796e-06,9.56642745198114e-06,2.46406941556599e-06,2.04737129322068e-05
1994-09-09,2.31695186927278e-07,8.54058914835282e-06,1.03486064658095e-06,9.95495698919479e-06,3.48839279590337e-06,2.32504947669592e-05
1994-09-10,2.37933238094601e-07,8.83728050267582e-06,9.81294054201052e-07,1.02967255256503e-05,5.35189993535315e-06,2.5705133255975e-05
1994-09-11,2.44130684938113e-07,7.11350797708899e-06,9.4370749944004e-07,1.07536841718134e-05,5.04870806044551e-06,2.41037383937261e-05
1994-09-12,2.27693479987323e-07,1.03332375662898e-05,8.70528689983209e-07,1.0407603067541e-05,7.8017384346707e-06,2.9640801238472e-05
1994-09-13,2.14095706174489e-07,1.19088868245791e-05,8.75466958541977e-07,9.98315434244231e-06,7.87711855882065e-06,3.08587223905586e-05
1994-09-14,2.10917774960827e-07,1.08215462307687e-05,8.83975640205319e-07,9.68916203629941e-06,8.43353612242481e-06,3.00391378046591e-05
1994-09-15,2.11078309166932e-07,1.00743281659644e-05,8.98974544541762e-07,9.56298112374457e-06,5.10012695866752e-06,2.58474891020852e-05
1994-09-16,2.05074111276124e-07,1.04486197106576e-05,8.5796914375828e-07,9.78509425263755e-06,4.27048562892755e-06,2.55672428472572e-05
1994-09-17,1.90270216953328e-07,1.10928895773549e-05,7.67542106044383e-07,9.72582004608191e-06,7.26525805744299e-06,2.90417800038775e-05
1994-09-18,1.94213030120672e-07,1.13948318965574e-05,7.31270089008348e-07,9.37212531804657e-06,5.45052576439727e-06,2.71429660981303e-05
1994-09-19,1.98232842000493e-07,1.28417529571579e-05,7.23086040565272e-07,9.10512301023957e-06,3.2551743831016e-06,2.61233692330649e-05
1994-09-20,2.19596439119378e-07,1.17669131244239e-05,7.42704785796976e-07,9.17666557703851e-06,5.81173179980136e-06,2.77176117261801e-05
1994-09-21,2.13592412659876e-07,1.06869670702145e-05,6.62602652069386e-07,9.24184487106272e-06,1.01237630806021e-05,3.09287700866085e-05
1994-09-22,1.93537207322019e-07,9.6275050266146e-06,6.11984706315961e-07,9.66754787682965e-06,1.31092994311757e-05,3.32098742482579e-05
1994-09-23,1.91033000731848e-07,9.96685472868358e-06,6.06443045459549e-07,1.02283966935042e-05,6.78829872018038e-06,2.77810261885595e-05
1994-09-24,1.87848624696567e-07,9.78087343034478e-06,5.98306786639057e-07,1.04060746377973e-05,6.13277541810639e-06,2.71058788975841e-05
1994-09-25,1.81888669655717e-07,9.6460219492458e-06,5.78192472502331e-07,1.02740060419551e-05,6.61019387732119e-06,2.72903030106801e-05
1994-09-26,1.85407587256911e-07,1.0976073357745e-05,5.80679571977847e-07,9.97226256429714e-06,7.66926595946735e-06,2.93836890407443e-05
1994-09-27,1.91182502296605e-07,1.09556939005403e-05,5.73064007671555e-07,9.58448403583263e-06,1.60872069319026e-05,3.73916313782437e-05
1994-09-28,1.90264314368301e-07,9.36347142485412e-06,5.66122010592927e-07,9.6511018910816e-06,1.90959153789506e-05,3.88668750198476e-05
1994-09-29,1.79811646368754e-07,8.19000097642939e-06,5.57049082883523e-07,1.00823973941254e-05,1.99641451227935e-05,3.89734042226006e-05
1994-09-30,1.77709156198191e-07,8.84098834952661e-06,5.51385211736167e-07,1.02895628073721e-05,1.98500458351334e-05,3.97096913599665e-05
1994-10-01,1.90894997327022e-07,8.9249076897215e-06,5.47451323167316e-07,9.83115479220599e-06,1.80751855161791e-05,3.75695943186009e-05
1994-10-02,2.06986419927104e-07,8.37237891631235e-06,5.64365978681617e-07,9.82589124948936e-06,1.43915018949461e-05,3.33611244593565e-05
1994-10-03,2.13940824131135e-07,7.34059200308319e-06,5.74897965321701e-07,1.01653975710387e-05,1.2594204493264e-05,3.08890328568387e-05
1994-10-04,2.01592747416239e-07,6.29445174445777e-06,5.48459261646622e-07,1.01910727158419e-05,1.19343157334159e-05,2.91698922027784e-05
1994-10-05,1.96995773481422e-07,6.27288892846058e-06,5.38594220949873e-07,9.63628088252282e-06,1.12318756421797e-05,2.78766354475944e-05
1994-10-06,2.05058999057194e-07,6.30394168433882e-06,5.48291791790569e-07,9.50566491634865e-06,1.07806862229622e-05,2.73436436144974e-05
1994-10-07,1.99012204018444e-07,7.12844612879295e-06,5.29517736808475e-07,1.02402362076309e-05,1.22696710721879e-05,3.03668833494386e-05
1994-10-08,1.79179417215421e-07,6.92082429343961e-06,4.93846490617648e-07,1.00924642213553e-05,9.09103897939696e-06,2.6777353402025e-05
1994-10-09,1.92540542389693e-07,6.18575184141978e-06,5.51133928528889e-07,9.46997688483854e-06,1.07867234809369e-05,2.71861266781138e-05
1994-10-10,2.1419943187429e-07,6.52827959045868e-06,5.75188666776264e-07,1.02227000150677e-05,2.12767557933872e-05,3.88171234975641e-05
1994-10-11,2.01532737040756e-07,5.6235731873578e-06,5.32729344363871e-07,1.04812228026736e-05,1.7378944414924e-05,3.421800248636e-05
1994-10-12,1.91328572985109e-07,4.8656688215729e-06,5.08595002340176e-07,1.06385368243473e-05,1.41957736754285e-05,3.0399902896674e-05
