"date","BC","Dust","OC","SO4","SS","PM25"
2014-09-23,4.90793642242807e-07,1.22062493031253e-05,2.35133675032775e-06,2.22701357857524e-06,1.75603604501197e-05,3.48357537243907e-05
2014-09-24,3.65072791641202e-07,8.23104998446324e-06,1.68149956818794e-06,1.74756877730161e-06,1.82172162710376e-05,3.02424073926316e-05
2014-09-25,3.73422088998272e-07,7.90585019923251e-06,1.69497743876993e-06,1.80682550390413e-06,1.57590609182077e-05,2.75401361491126e-05
2014-09-26,3.60113031151439e-07,8.84951994185608e-06,1.61453118193427e-06,1.60965526358482e-06,9.16971217815994e-06,2.16035315966865e-05
2014-09-27,3.69205528105966e-07,9.11015743712471e-06,1.73772864129533e-06,1.60245947363828e-06,6.8245173244867e-06,1.9644068404651e-05
2014-09-28,4.20481068621664e-07,9.25313928555779e-06,2.05765062136943e-06,1.64147462369055e-06,1.32270498140688e-05,2.65997954133082e-05
2014-09-29,6.01976696520666e-07,8.24134346752998e-06,3.39294424536905e-06,2.26187896648944e-06,1.50040606589978e-05,2.9502204034907e-05
2014-09-30,6.01887794342312e-07,8.8740203136393e-06,3.60126580582688e-06,2.01149166152328e-06,1.85249914330825e-05,3.36136570084143e-05
2014-10-01,5.22782860841951e-07,8.84047506481981e-06,3.19655831127281e-06,1.8214394159962e-06,2.72192045553584e-05,4.16004602082892e-05
2014-10-02,5.57316431569216e-07,8.64566281833869e-06,3.2021443048658e-06,2.07618344043546e-06,2.2316850868662e-05,3.67981578638712e-05
2014-10-03,5.67396276997437e-07,1.02282290128838e-05,2.7719926832399e-06,2.96511873326752e-06,9.48550748587726e-06,2.60182441922659e-05
2014-10-04,4.7862912229749e-07,1.18665015822856e-05,1.91263650428383e-06,2.53325603813013e-06,7.13610342424383e-06,2.39271266712409e-05
2014-10-05,3.8916211685254e-07,1.05230386167337e-05,1.43828986564016e-06,1.76984885878763e-06,6.95789384358182e-06,2.10782333015958e-05
2014-10-06,3.23222198702415e-07,9.82309170847783e-06,1.03703089998206e-06,1.54131746623132e-06,1.60898993085842e-05,2.88145615819779e-05
2014-10-07,2.90472427050557e-07,1.02490003043018e-05,8.98297863451145e-07,1.46473037818119e-06,1.47854838321987e-05,2.76879848051835e-05
2014-10-08,2.73978778357377e-07,1.02350418304485e-05,8.76994217359514e-07,1.54901266621406e-06,6.5580621746776e-06,1.94930896670571e-05
2014-10-09,2.73993765274289e-07,1.00548853316514e-05,8.60312932387506e-07,1.6804531013834e-06,4.98853648272964e-06,1.78581816134262e-05
2014-10-10,2.71678041939877e-07,1.03114181306598e-05,8.07407902454503e-07,1.65639863161104e-06,4.85068989220798e-06,1.78975925988732e-05
2014-10-11,2.74465230447251e-07,9.93501434781862e-06,8.44001162170722e-07,1.63172258829692e-06,6.38599054473296e-06,1.90711938734665e-05
2014-10-12,3.16841491239969e-07,9.2102712663766e-06,1.12750939021091e-06,1.64149735678893e-06,7.41270959186871e-06,1.97088290964851e-05
2014-10-13,3.49774899263541e-07,8.73626723971934e-06,1.36200957077552e-06,1.68176688703182e-06,9.06484538231846e-06,2.11946639791087e-05
2014-10-14,3.24696470443872e-07,8.18567705714077e-06,1.23161973297983e-06,1.71751366272833e-06,9.20472508059493e-06,2.06642320038877e-05
2014-10-15,3.07726327973278e-07,7.81568680557962e-06,1.10563729559251e-06,1.77559279100995e-06,1.09000339624005e-05,2.19046771825558e-05
2014-10-16,2.98648663940125e-07,7.84982382270041e-06,1.06435774652252e-06,1.79370487812681e-06,8.34721455403709e-06,1.93537496653269e-05
2014-10-17,2.77425352438364e-07,6.50441682225604e-06,9.54647936808481e-07,1.55172200371552e-06,1.06634547934092e-05,1.99516669086276e-05
2014-10-18,2.98160666428402e-07,5.91199042388875e-06,1.08075342063388e-06,1.56313214750065e-06,1.53946544486456e-05,2.42486911070972e-05
2014-10-19,4.83396278052462e-07,5.49272122465677e-06,2.40962386326598e-06,1.59699900376956e-06,1.70785763609445e-05,2.70613167306892e-05
2014-10-20,4.09200710953601e-07,5.14281325674703e-06,1.77657242770005e-06,1.51072401546549e-06,2.38107107138816e-05,3.26500211247478e-05
2014-10-21,3.69274379150339e-07,4.98561071206102e-06,1.45461025555964e-06,1.54943321074299e-06,2.26063004623978e-05,3.09652290199118e-05
2014-10-22,3.40501330533389e-07,5.43458596944282e-06,1.28228022738008e-06,1.61252972479726e-06,1.90028107655788e-05,2.76727080177324e-05
2014-10-23,3.31574264116202e-07,5.28106379620529e-06,1.18013104717783e-06,1.71137315559626e-06,1.63620361853382e-05,2.48661784484337e-05
2014-10-24,3.2677578874707e-07,4.77815740924892e-06,1.01392111855598e-06,1.95076427996411e-06,1.96466575536525e-05,2.77162761501686e-05
2014-10-25,2.82248950120502e-07,4.07071785422483e-06,8.50817166040045e-07,1.85007735870266e-06,1.91427775358231e-05,2.61966388649112e-05
2014-10-26,2.90085602768088e-07,4.13405450450988e-06,9.03894431191871e-07,1.66205526027571e-06,2.3369331901712e-05,3.03594217004575e-05
2014-10-27,2.71071512371206e-07,4.4136592418152e-06,8.87681693900457e-07,1.54478456158168e-06,3.6181480921376e-05,4.32986779310445e-05
2014-10-28,2.82022396940985e-07,6.31779541034551e-06,9.61331124630046e-07,1.63959316470652e-06,3.58807213047155e-05,4.50814634013386e-05
2014-10-29,2.72594300744734e-07,5.86243889951935e-06,9.871336658864e-07,1.4735598390065e-06,1.19213743183425e-05,2.05171010234994e-05
2014-10-30,2.68768190038924e-07,5.35540228333978e-06,9.63463441398864e-07,1.32292133650927e-06,1.16341055230801e-05,1.95446607743669e-05
2014-10-31,3.484162610869e-07,8.45329490997748e-06,1.42993105278166e-06,2.12660526389708e-06,1.72344762873797e-05,2.95927237751228e-05
2014-11-01,3.48119528019527e-07,8.34154785719681e-06,1.61577583379319e-06,2.343622794204e-06,1.83440116989605e-05,3.09930777121741e-05
2014-11-02,3.34738135553366e-07,7.48516005096488e-06,1.53731210862148e-06,2.11409600062614e-06,1.75505997819814e-05,2.90219060777472e-05
2014-11-03,3.38661399980806e-07,7.59498374908092e-06,1.60084298355086e-06,2.31624920569803e-06,1.26155173035836e-05,2.44662546418943e-05
2014-11-04,3.06454726658496e-07,6.24584270092245e-06,1.41636000348512e-06,2.32681030303011e-06,1.48889404964427e-05,2.51844082305389e-05
2014-11-05,3.07204399679507e-07,5.3327375110868e-06,1.18709300727923e-06,1.97868292440865e-06,1.77914887501629e-05,2.65972065926171e-05
2014-11-06,3.42606162831443e-07,6.44479305435819e-06,1.30396836292844e-06,1.77648545870594e-06,2.25267291650753e-05,3.23945822038993e-05
2014-11-07,3.36054300017877e-07,8.35096599535823e-06,1.37287195924369e-06,1.92641692674069e-06,2.35082608117152e-05,3.54945699930757e-05
2014-11-08,3.01662118454269e-07,7.24313212176533e-06,1.34867220711029e-06,1.79671288002518e-06,1.87029183540429e-05,2.9393097681398e-05
2014-11-09,2.90038677350124e-07,6.91343302395009e-06,1.31678636528118e-06,1.68870355217153e-06,1.27797724610922e-05,2.29887340798452e-05
2014-11-10,2.63533155509878e-07,6.07163103066217e-06,1.18145824238734e-06,1.5746711886957e-06,1.77224914052535e-05,2.68137850225086e-05
2014-11-11,2.52146064937027e-07,6.89915688950212e-06,1.00762760603615e-06,1.4677604432271e-06,1.8525019565925e-05,2.81517105696274e-05
2014-11-12,2.85522756322188e-07,1.11625718242699e-05,9.49178619640485e-07,1.81582527858668e-06,1.34252045652186e-05,2.76383030440379e-05
2014-11-13,2.94576433560149e-07,7.97908925067644e-06,9.70295510009343e-07,2.03909960739977e-06,8.06836003591173e-06,1.93514208375574e-05
2014-11-14,3.26062439448181e-07,1.26690968895743e-05,9.95796297502214e-07,2.76918687830312e-06,8.6069567700604e-06,2.53670992748883e-05
2014-11-15,4.14650630990288e-07,3.28999214910614e-05,1.61999627800494e-06,3.59680778039485e-06,5.94621475458424e-06,4.44775909350357e-05
2014-11-16,5.55674313818533e-07,2.05276695631111e-05,2.88570451337894e-06,2.96450980788707e-06,5.00874833672895e-06,3.19423065349246e-05
2014-11-17,7.03147249782273e-07,1.15866417840929e-05,4.2344627899617e-06,2.18252069648541e-06,8.47386948413558e-06,2.71806420044578e-05
2014-11-18,6.47245295748142e-07,1.33766773207732e-05,3.32517691545312e-06,2.3043389366322e-06,6.43477327392372e-06,2.60882117425303e-05
2014-11-19,7.09670886355592e-07,6.58664388015366e-06,3.85288269521954e-06,1.95238356154972e-06,6.95421685299779e-06,2.00557978762763e-05
2014-11-20,5.48108525298869e-07,5.93637212634816e-06,2.79426541154453e-06,1.92126391034501e-06,7.88270540033836e-06,1.90827153738749e-05
2014-11-21,4.06933343351781e-07,5.77842194261333e-06,1.76739726942849e-06,1.72283709382208e-06,5.01408649201506e-06,1.46896761412307e-05
2014-11-22,3.51898393181132e-07,5.11849332246698e-06,1.44793647015968e-06,1.32600709584316e-06,5.87368394945142e-06,1.41180192311024e-05
2014-11-23,4.99524282280173e-07,1.06461937416239e-05,2.22700934772214e-06,2.04808940193435e-06,6.99529607401673e-06,2.24161128475773e-05
2014-11-24,7.03024360648308e-07,7.27524541569568e-06,4.45053355137023e-06,2.32975776259753e-06,1.46359514563119e-05,2.93945125466237e-05
2014-11-25,5.91817080989005e-07,5.03642785643279e-06,3.78163115159814e-06,1.6955066612108e-06,1.30501125467547e-05,2.41554952969855e-05
2014-11-26,8.4387941130917e-07,4.08250136957729e-06,5.7312063387692e-06,1.32422570330871e-06,1.7248056759597e-05,2.92298695825614e-05
2014-11-27,5.68882138659448e-07,5.35200766909343e-06,2.70050835203325e-06,1.91181817853754e-06,1.67298830749206e-05,2.72630994132443e-05
2014-11-28,4.58164810766526e-07,8.12104599105132e-06,1.91312297553447e-06,2.06957073890844e-06,1.81988606381015e-05,3.07607651543622e-05
2014-11-29,6.78509652185201e-07,7.67977148963599e-06,3.90257447688741e-06,2.26547055641103e-06,3.73532503057578e-05,5.18795764808775e-05
2014-11-30,6.20943677247205e-07,7.1307108304264e-06,3.54731337162661e-06,1.95859796999337e-06,2.90998355406538e-05,4.23574013899473e-05
2014-12-01,5.79304476265536e-07,5.53634618200336e-06,3.17172797838432e-06,1.85068609458278e-06,3.1432346514662e-05,4.2570411245898e-05
2014-12-02,3.45612154152114e-07,5.87312080519374e-06,1.55019492112395e-06,1.90836060362824e-06,3.063130419842e-05,4.03085926825181e-05
2014-12-03,4.11994685608674e-07,5.70102942384467e-06,2.07932626684254e-06,1.82521600069375e-06,2.68518554622741e-05,3.68694218392637e-05
2014-12-04,3.78276001009313e-07,6.47299372106845e-06,1.78964906039926e-06,1.64082848406471e-06,3.68610637920757e-05,4.71428110586174e-05
2014-12-05,3.73705536610373e-07,5.54612770691405e-06,1.74230761564223e-06,1.63785691979246e-06,3.32196754718944e-05,4.25196732508535e-05
