date,nwvf_time_integral,EC,days_diff
2021-08-31,3659631.745727904,36.5,35.0
2021-09-30,11368210.929806316,13.8,28.0
2021-10-31,3933335.645201939,15.6,28.0
2021-11-30,1617609.4620945489,76.6,35.0
2021-12-31,3659032.788855687,62.7,21.0
2022-01-31,-445383.70530466276,136.9,41.0
2022-02-28,-127464.64527007844,118.7,28.0
2022-03-31,10445117.800199755,72.2,28.0
2022-04-30,-882538.5441134052,103.0,28.0
2022-05-31,354701.36610110314,63.199999999999996,35.0
2022-06-30,7516715.86317479,17.8,28.0
2022-07-31,122151290.15160921,35.2,35.0
2022-08-31,123590326.01868889,32.6,28.0
2022-09-30,123609093.2759228,10.8,28.0
2022-10-31,154737059.11873788,19.6,35.0
2022-11-30,123789647.2949903,38.5,28.0
2022-12-31,30947411.823747575,12.6,7.0
