date,nwvf_time_integral,EC,days_diff
2021-08-29,-999128.341382227,5.0,7.0
2021-09-05,3584292.881604836,4.0,7.0
2021-09-12,-1128938.1102429645,7.0,7.0
2021-09-19,-681779.1598050353,2.0,7.0
2021-09-26,6523919.971692198,2.0,7.0
2021-10-03,0.0,0.0,0.0
2021-10-10,0.0,0.0,0.0
2021-10-17,2350554.0839345646,2.0,21.0
2021-10-24,-1380431.6436867502,2.0,7.0
2021-10-31,-2247665.4508249736,3.0,7.0
2021-11-07,0.0,0.0,0.0
2021-11-14,0.0,0.0,0.0
2021-11-21,0.0,0.0,0.0
2021-11-28,0.0,0.0,0.0
2021-12-05,0.0,0.0,0.0
2021-12-12,0.0,0.0,0.0
2021-12-19,2246111.1813690276,2.0,50.0
2021-12-26,447744.20954399474,14.0,6.0
2022-01-02,-1844737.7236378917,26.0,7.0
2022-01-09,-1032826.4053983523,4.0,8.0
2022-01-16,55844.42619121977,27.0,6.0
2022-01-23,617370.3984954675,32.0,7.0
2022-01-30,1932876.3026153108,98.0,10.0
2022-02-06,-180234.17640215022,28.0,4.0
2022-02-13,351641.78255693737,36.0,7.0
2022-02-20,272724.8063529095,31.0,7.0
2022-02-27,-852488.7213365355,45.0,7.0
2022-03-06,444165.01819316234,22.0,7.0
2022-03-13,1060870.6348113527,26.0,7.0
2022-03-20,0.0,0.0,0.0
2022-03-27,4593197.593713429,51.0,15.0
2022-04-03,-1084652.2545283341,30.0,7.0
2022-04-10,-2042791.491225051,48.0,7.0
2022-04-17,-703864.7203510756,10.0,7.0
2022-04-24,1976057.7760792426,10.0,7.0
2022-05-01,0.0,0.0,0.0
2022-05-08,0.0,0.0,0.0
2022-05-15,279481.99985381606,18.0,22.0
2022-05-22,-59877.75777646065,10.0,7.0
2022-05-29,1923524.410429319,23.0,7.0
2022-06-05,1317373.2841300906,13.0,7.0
2022-06-12,2886275.089161286,7.0,7.0
2022-06-19,1192368.8713537306,3.0,7.0
2022-06-26,1835833.2159013336,5.0,7.0
2022-07-03,3128215.722178464,3.0,7.0
2022-07-10,0.0,0.0,0.0
2022-07-17,41098838.84377302,8.0,14.0
2022-07-24,30379034.14724838,9.0,7.0
2022-07-31,30756396.22031114,10.0,7.0
2022-08-07,30947411.823747575,4.0,7.0
2022-08-14,30748090.547446165,3.0,7.0
2022-08-21,30947411.823747575,1.0,7.0
2022-08-28,30947411.823747575,1.0,7.0
2022-09-04,30947411.823747575,1.0,7.0
2022-09-11,30947411.823747575,1.0,7.0
2022-09-18,30947411.823747575,0.0,7.0
2022-09-25,30766857.804680083,4.0,7.0
2022-10-02,30947411.823747575,7.0,7.0
2022-10-09,30947411.823747575,2.0,7.0
2022-10-16,30947411.823747575,4.0,7.0
2022-10-23,0.0,0.0,0.0
2022-10-30,61894823.647495136,1.0,14.0
2022-11-06,30947411.823747575,1.0,7.0
2022-11-13,30947411.823747575,1.0,7.0
2022-11-20,0.0,0.0,0.0
2022-11-27,57473764.81553119,1.0,13.0
2022-12-04,0.0,0.0,0.0
2022-12-11,61894823.647495136,5.0,14.0
2022-12-18,30947411.823747575,25.0,7.0
2022-12-25,30947411.823747575,22.0,7.0
