date,nwvf_time_integral,EC,days_diff
2015-01-18,-736655.7067665159,51.5,7.0
2015-01-25,2284840.098286923,22.2,7.0
2015-02-08,1128787.768283695,92.0,14.0
2015-02-22,3002663.306529389,21.7,14.0
2015-03-08,5290753.635261739,33.9,14.0
2015-03-22,4945248.742418218,21.1,14.0
2015-04-05,3963878.3429780332,49.6,14.0
2015-04-19,3884495.507652738,21.0,14.0
2015-05-03,-2179897.3312478834,33.0,14.0
2015-05-17,2209829.4565297216,15.5,14.0
2015-05-31,2468010.1885168133,14.6,14.0
2015-06-07,-1063641.6601378492,7.0,7.0
2015-06-14,-1340534.1443000787,3.6,7.0
2015-06-21,-595716.8596145666,22.9,7.0
2015-07-05,-2723984.1126602557,32.8,14.0
2015-07-12,-5228803.188421674,13.7,7.0
2015-07-19,-4664047.420196836,8.2,7.0
2015-08-02,-2611891.3905488956,18.2,14.0
2015-08-09,2238500.0482234824,97.4,7.0
2015-08-16,4314014.552921603,10.3,7.0
2015-08-23,5555174.974346807,14.8,7.0
2015-08-30,82835.53337127439,5.9,7.0
2015-09-06,-283269.743586701,3.4,7.0
2015-09-13,4479913.014898516,6.8,7.0
2015-09-20,1968246.5781646327,17.2,7.0
2015-09-27,4144652.1746501587,2.7,7.0
2015-10-04,2492655.411780844,11.2,7.0
2015-10-11,4091700.520539526,3.9,7.0
2015-10-18,2494939.777168864,6.2,7.0
2015-10-25,2129680.698915452,13.5,7.0
2015-11-01,2179755.4259227663,11.4,7.0
2015-11-08,939578.2529021043,7.4,7.0
2015-11-15,3178749.4945717705,19.9,7.0
2015-11-29,505145.22320316127,33.2,14.0
2015-12-06,425715.7325125224,40.6,7.0
2015-12-13,-1482294.4164759577,18.4,7.0
2015-12-20,470700.1272434759,14.6,7.0
2015-12-27,805677.9678553204,36.6,7.0
2016-01-10,7811939.263066765,13.2,14.0
2016-01-17,-752956.6881182832,32.0,7.0
2016-01-24,1284176.8506918494,44.1,7.0
2016-02-07,789674.573348916,33.8,14.0
2016-02-14,696135.2152212925,43.8,7.0
2016-02-21,2721476.5941741196,27.8,7.0
2016-03-06,139115.45766467846,93.2,14.0
2016-03-13,3734899.4219014817,21.8,7.0
2016-03-20,-408265.8927083754,65.2,7.0
2016-04-03,1146743.0209757835,32.9,14.0
2016-04-10,-532788.9139401997,64.6,7.0
2016-04-17,-2024370.0906768676,55.8,7.0
2016-05-01,14723.371432130545,23.1,14.0
2016-05-08,2284725.6175418776,10.7,7.0
2016-05-15,-25141.862273216473,20.1,7.0
2016-05-22,1093252.5420709027,8.1,7.0
2016-05-29,4019971.7956965542,9.0,7.0
2016-06-05,-161768.919531685,13.1,7.0
2016-06-12,-2131700.686610984,5.2,7.0
2016-06-19,1330236.356817205,3.0,7.0
2016-06-26,2657945.5205130856,14.0,7.0
2016-07-03,3746167.823171108,36.9,7.0
2016-07-10,1004568.1427249253,12.9,7.0
2016-07-24,2204575.409862958,13.8,14.0
2016-07-31,-1171767.6775327043,18.0,7.0
2016-08-07,-750961.5502085407,19.1,7.0
2016-08-21,8409418.342213832,13.9,14.0
2016-08-28,-886999.4571217513,0.5,7.0
2016-09-04,1467420.473607179,,
2016-09-18,7308030.723665891,,
2016-09-25,5779422.341442483,0.7,7.0
2016-10-02,3022175.3479904663,5.2,7.0
2016-10-09,3467208.076068604,,
2016-10-16,3820035.6083260486,0.7,7.0
2016-10-23,5858435.002451395,6.4,7.0
2016-10-30,4104890.913949745,7.3,7.0
2016-11-06,113792.9176846684,7.7,7.0
2016-11-13,6497967.118934787,,
2016-11-20,4034981.419534417,4.6,7.0
2016-11-27,-72560.4019866434,10.4,7.0
2016-12-04,-319081.02818102314,20.9,7.0
2016-12-11,-1152100.659831223,14.9,7.0
