date,nwvf_time_integral
2007-09-10,825648.9727876806
2007-09-17,240690.00570460927
2007-09-24,2001355.6057027557
2007-10-01,4251023.521446833
2007-10-08,5223587.408124444
2007-10-15,-281106.2355100714
2007-10-22,3541518.3528666957
2007-12-31,1248481.5259549918
2008-01-07,5607119.627110882
2008-01-14,109063.5103339521
2008-01-21,1368059.6926754962
2008-01-28,654022.0908310403
2008-02-04,-443529.5187912896
2008-02-11,4304279.355665534
2008-02-18,1237742.9984094636
2008-02-25,1203666.944484111
2008-03-03,-483807.76835147827
2008-03-10,563991.5330303122
2008-03-17,-24932.800829004693
2008-03-24,-1193152.173068392
2008-03-31,-524055.2269855963
2008-04-07,-998298.0062455032
2008-04-14,-533158.9908013185
2008-04-21,90069.52247863788
2008-04-28,-516254.791850515
2008-05-05,72197.22004931475
2008-05-12,-711896.6476179205
2008-05-19,-1798159.8751719452
2008-05-26,-171493.99073533184
2008-06-02,1271595.4170437271
2008-06-09,-502196.53532833786
2008-06-16,-2956908.2982947
2008-06-23,-121843.07416969535
2008-06-30,225418.95658954285
2008-07-07,131501.2181506708
2008-07-14,-649623.4684404102
2008-07-21,1749152.3864516078
2008-07-28,2709185.5441054977
2008-08-04,-3237150.7646854357
2008-08-11,-2688792.74813239
2008-08-18,2125810.527489174
2008-08-25,3831921.8905087193
2008-09-01,-655939.4713477578
2008-09-08,-1114906.9198513846
2008-09-15,5746534.298876967
2008-09-22,9555932.995145453
2008-09-29,1912387.9528427615
2008-10-06,-1569691.3966046104
2008-10-13,964352.8677121827
2008-10-20,1559083.0257233763
2008-10-27,1752104.2358856557
2008-11-03,72948.40001434927
2008-11-10,1492752.369292766
2008-11-17,-280546.2380871661
2008-11-24,-377679.43795337173
2008-12-01,-442863.76947805175
2008-12-08,903892.3193091026
2008-12-15,3498937.440292808
2008-12-22,3806453.937975911
2008-12-29,2733079.903444226
2009-01-05,-2157673.383642559
2009-01-12,404477.96887931996
2009-01-19,1904366.9394038457
2009-01-26,2202428.0209745388
2009-02-02,3569377.2528631063
2009-02-09,-1038602.7460642601
2009-02-16,-279636.16159476555
2009-02-23,3233875.165080101
2009-03-02,-176913.9396704922
