date,nwvf_time_integral,SO4,days_diff
2008-11-09,72948.40001434927,0.262,7.0
2008-11-16,1492752.369292766,0.197,7.0
2008-11-23,-280546.2380871661,0.288,7.0
2008-11-30,-377679.43795337173,0.241,7.0
2008-12-07,-442863.76947805175,0.192,7.0
2008-12-14,903892.3193091026,0.12,7.0
2008-12-21,3498937.440292808,0.206,7.0
2008-12-28,3806453.937975911,0.124,7.0
2009-01-04,2733079.903444226,0.318,7.0
2009-01-11,-2157673.383642559,0.406,7.0
2009-01-18,404477.96887931996,0.275,7.0
2009-01-25,1904366.9394038457,0.45,7.0
2009-02-01,2202428.0209745388,0.104,7.0
2009-02-08,3569377.2528631063,0.444,7.0
2009-02-15,-1038602.7460642601,0.344,7.0
2009-02-22,-279636.16159476555,0.278,7.0
2009-03-01,3233875.165080101,0.164,7.0
2009-03-08,-176913.9396704922,0.387,7.0
2009-03-15,2082670.1327998107,0.376,7.0
2009-03-22,666030.645532427,0.388,7.0
2009-03-29,-140309.80666684755,0.418,7.0
2009-04-05,-377399.53248525894,0.442,7.0
2009-04-12,-1060450.9503148445,0.437,7.0
2009-04-19,2552209.5437104716,0.615,7.0
2009-04-26,-716819.8628481672,0.748,7.0
2009-05-03,717299.2611347648,0.705,7.0
2009-05-10,2289637.0341491373,0.216,7.0
2009-05-17,1371613.3752918895,0.157,7.0
2009-05-24,1096205.640559036,0.104,7.0
2009-05-31,-123956.95645607986,0.15,7.0
2009-06-07,941736.1233876435,0.064,7.0
2009-06-14,-3107773.393948929,0.117,7.0
2009-06-21,259470.2127246129,0.087,7.0
2009-06-28,1430465.2274334473,0.042,7.0
2009-07-05,1643379.614258505,0.032,7.0
2009-07-12,-613894.569129738,0.051,7.0
2009-07-19,190988.12540846798,0.051,7.0
2009-07-26,-4321829.039624668,0.032,7.0
2009-08-02,-69807.66455482296,0.035,7.0
2009-08-09,4341328.909489399,0.031,7.0
2009-08-16,2299871.3243699535,0.021,7.0
2009-08-23,-491115.9354404787,0.032,7.0
2009-08-30,4273288.975990848,0.018,7.0
2009-09-06,225834.96247653058,0.012,7.0
2009-09-13,3317692.7047732994,0.028,7.0
2009-09-20,1973626.0008137992,0.025,7.0
2009-09-27,1390901.047715222,0.129,7.0
2009-10-04,2511240.7137870668,0.089,7.0
2009-10-11,-2907703.2057323228,0.027,7.0
2009-10-18,-2309097.920745387,0.058,7.0
2009-10-25,2536220.202514916,0.085,7.0
2009-11-01,1666670.5878116116,0.05,7.0
2009-11-08,2906229.766923407,0.055,7.0
2009-11-15,2772640.4661342013,0.051,7.0
2009-11-22,2522302.9066843945,0.055,7.0
2009-11-29,2314549.575901833,0.058,7.0
2009-12-06,130495.51930609228,0.001,7.0
2009-12-13,980633.967027688,0.087,7.0
2009-12-20,2472807.5589336585,0.001,7.0
2009-12-27,-1399453.752106692,0.087,7.0
2010-01-03,-943527.6550242724,0.151,7.0
2010-01-10,-1180285.7662783028,0.143,7.0
2010-01-17,275479.7528675948,0.168,7.0
2010-01-24,2628275.533921667,0.144,7.0
2010-01-31,4871550.70487539,0.154,7.0
2010-02-14,2360822.9444867317,0.175,14.0
2010-02-21,-135269.33633909762,0.001,7.0
2010-02-28,-1272596.2474821496,0.001,7.0
2010-03-14,441704.57931504206,0.158,14.0
2010-03-21,-1146654.9885152793,0.178,7.0
2010-03-28,-948597.8699774382,0.126,7.0
2010-04-04,-1594339.9661716793,0.345,7.0
2010-04-11,1140776.8935130672,0.212,7.0
2010-04-18,4102928.288627367,0.207,7.0
2010-04-25,-314682.75784935866,0.161,7.0
2010-05-02,-1235023.1459574117,0.24,7.0
2010-05-09,-294872.7739982204,0.235,7.0
2010-05-16,236197.61362853542,0.149,7.0
2010-05-23,2989981.881744567,0.169,7.0
2010-05-30,2311427.2567281234,0.079,7.0
2010-06-06,-1417538.7237131896,0.059,7.0
2010-06-13,-1298256.4416387603,0.059,7.0
2010-06-20,-1633860.6044454433,0.033,7.0
2010-06-27,538187.7906067456,0.06,7.0
2010-07-04,-513902.2379856751,0.058,7.0
2010-07-11,-520863.4139283091,,
2010-07-18,3511374.37755478,,
2010-07-25,2587492.2448826125,,
2010-08-01,1616123.6239547746,0.003,7.0
2010-08-08,4950598.044273354,0.016,7.0
2010-08-15,3441859.2588954144,0.035,7.0
2010-08-22,2586934.4951761058,0.012,7.0
2010-08-29,-5660454.780330692,0.032,7.0
2010-09-05,-2177678.3396078255,0.013,7.0
2010-09-12,698978.9238764502,0.011,7.0
2010-09-19,2304500.3536676816,0.016,7.0
2010-09-26,-1101758.6561640322,0.033,7.0
2010-10-03,68815.15688329679,0.034,7.0
2010-10-10,3698512.4569935403,0.016,7.0
2010-10-17,5624554.898877706,0.018,7.0
2010-10-24,-3144975.904031313,0.031,7.0
2010-10-31,-1452123.597539359,0.094,7.0
2010-11-07,-643474.9450953389,0.042,7.0
2010-11-14,-1070730.781628569,0.021,7.0
2010-11-21,-768062.5425686162,0.083,7.0
2010-11-28,56271.62999332171,0.067,7.0
2010-12-05,-1904373.302027261,0.049,7.0
2010-12-12,-784431.5590249808,0.052,7.0
2010-12-19,-678963.4546519944,0.08,7.0
2010-12-26,94424.285061254,0.083,7.0
2011-01-02,-1251182.4886425852,0.085,7.0
2011-01-09,1013827.1819730765,0.139,7.0
2011-01-16,-1211819.4043082844,0.212,7.0
2011-01-23,-97229.46068835544,0.306,7.0
2011-01-30,2085623.2684690887,0.067,7.0
2011-02-06,44808.39894363621,0.136,7.0
2011-02-13,606482.0059550429,0.315,7.0
2011-02-20,849878.8466443127,0.144,7.0
2011-02-27,1222815.8650081754,0.028,7.0
2011-03-06,5664461.47627328,0.109,7.0
2011-03-13,1113082.8430938893,0.175,7.0
2011-03-20,881884.7874622537,0.272,7.0
2011-03-27,5686478.365568572,0.299,7.0
2011-04-03,-1325310.0038469052,0.256,7.0
2011-04-10,1522526.2649840245,0.191,7.0
2011-04-17,2296846.961246218,0.228,7.0
2011-04-24,2589060.8662604783,0.318,7.0
2011-05-01,3230364.5504295276,0.381,7.0
2011-05-08,1525695.806535536,0.225,7.0
2011-05-15,1164114.2026155756,0.164,7.0
2011-05-22,475567.0310488659,0.133,7.0
2011-05-29,-765265.8117090425,0.105,7.0
2011-06-05,1809152.1785550758,0.07,7.0
2011-06-12,2657511.237769574,0.045,7.0
2011-06-19,569198.4921009234,0.059,7.0
2011-06-26,-2682692.969849196,0.073,7.0
2011-07-03,-83920.76849427738,0.05,7.0
2011-07-10,11320.201575891406,0.061,7.0
2011-07-17,971843.2765851218,0.011,7.0
2011-07-24,96527.53876880513,0.031,7.0
2011-07-31,2529711.94868848,0.075,7.0
2011-08-07,2997243.1083643674,0.045,7.0
2011-08-14,-3443114.523393894,0.036,7.0
2011-08-21,-1128925.6943548783,0.024,7.0
2011-08-28,5015249.267314333,0.022,7.0
2011-09-04,1146222.878544921,0.014,7.0
2011-09-18,8756157.180816896,,
