time,nwvf
2013-10-15 08:00:00,-129895.80602995977
2013-10-15 14:00:00,-149108.01931978477
2013-10-15 20:00:00,-132902.04102175112
2013-10-16 02:00:00,-111342.860915058
2013-10-16 08:00:00,-102297.11595207937
2013-10-16 14:00:00,-98145.65522195288
2013-10-16 20:00:00,-76217.18733679746
2013-10-17 02:00:00,-62790.06738676405
2013-10-17 08:00:00,-52433.83114415953
2013-10-17 14:00:00,-63311.87686911395
2013-10-17 20:00:00,-65785.57561826128
2013-10-18 02:00:00,-61275.53063175109
2013-10-18 08:00:00,-35491.322252168975
2013-10-18 14:00:00,-30537.636492748676
2013-10-18 20:00:00,-33908.799773766674
2013-10-19 02:00:00,-41218.901008494424
2013-10-19 08:00:00,-40292.06337217881
2013-10-19 14:00:00,-51078.880510558905
2013-10-19 20:00:00,-71393.95162414308
2013-10-20 02:00:00,-100584.8963450947
2013-10-20 08:00:00,-121533.6921870785
2013-10-20 14:00:00,-112974.38814239502
2013-10-20 20:00:00,-84006.18636505546
2013-10-21 02:00:00,-66383.79700095601
2013-10-21 08:00:00,-57316.593869746
2013-10-21 14:00:00,-44637.776993663014
2013-10-21 20:00:00,-35511.218812315936
2013-10-22 02:00:00,-22587.536211425013
2013-10-22 08:00:00,-18047.432593111393
2013-10-22 14:00:00,-24542.441798599786
2013-10-22 20:00:00,-20544.292871689322
2013-10-23 02:00:00,-20048.36146616687
2013-10-23 08:00:00,-23943.432640398198
2013-10-23 14:00:00,-44176.20096599768
2013-10-23 20:00:00,-62772.68520153873
2013-10-24 02:00:00,-75111.19235394015
2013-10-24 08:00:00,-73868.85411285548
2013-10-24 14:00:00,-71129.43566427293
2013-10-24 20:00:00,-51210.85033662126
2013-10-25 02:00:00,-39366.4991900749
2013-10-25 08:00:00,-23371.92591029043
2013-10-25 14:00:00,-6507.885500720151
2013-10-25 20:00:00,10819.595803312695
2013-10-26 02:00:00,11982.101478724766
2013-10-26 08:00:00,5636.568028021822
2013-10-26 14:00:00,-1816.4947087195924
2013-10-26 20:00:00,10146.084926083826
2013-10-27 02:00:00,16840.80335593917
2013-10-27 08:00:00,20360.269442813144
2013-10-27 14:00:00,3260.193830340842
2013-10-27 20:00:00,-12341.723321432415
2013-10-28 02:00:00,-21887.06900416756
2013-10-28 08:00:00,-31818.457218770694
2013-10-28 14:00:00,-33870.93542536273
2013-10-28 20:00:00,-13814.15475370504
2013-10-29 02:00:00,-28480.445576044745
2013-10-29 08:00:00,-34305.24837855432
2013-10-29 14:00:00,-47795.4879696426
2013-10-29 20:00:00,-53474.98221036878
2013-10-30 02:00:00,-44812.849061912464
2013-10-30 08:00:00,-39059.75009727892
2013-10-30 14:00:00,-39960.13799666476
2013-10-30 20:00:00,-35892.02345040079
2013-10-31 02:00:00,-26075.720174447277
2013-10-31 08:00:00,-9843.37812088136
2013-10-31 14:00:00,-239.1723620001783
2013-10-31 20:00:00,2321.748705362062
2013-11-01 02:00:00,3189.11974810599
2013-11-01 08:00:00,7.887050354915423
2013-11-01 14:00:00,-6373.354823305076
2013-11-01 20:00:00,-13277.900396574307
2013-11-02 02:00:00,-13184.150463613685
2013-11-02 08:00:00,-6464.918040183207
2013-11-02 14:00:00,910.4593420016893
2013-11-02 20:00:00,8151.259570340427
2013-11-03 02:00:00,18419.77387309589
2013-11-03 08:00:00,31498.706344379032
2013-11-03 14:00:00,39413.72853934222
2013-11-03 20:00:00,45007.938529029685
2013-11-04 02:00:00,48847.28678621313
2013-11-04 08:00:00,60885.64449903247
2013-11-04 14:00:00,50736.920873573865
2013-11-04 20:00:00,57748.2994951538
2013-11-05 02:00:00,45227.302636101966
2013-11-05 08:00:00,66488.04828352001
2013-11-05 14:00:00,67285.39328755002
2013-11-05 20:00:00,44039.40223874572
2013-11-06 02:00:00,15811.293473805632
2013-11-06 08:00:00,3522.4885072828893
2013-11-06 14:00:00,-5295.182955916056
2013-11-06 20:00:00,-14446.143587403669
2013-11-07 02:00:00,-25074.36455235351
2013-11-07 08:00:00,-30363.977308004178
2013-11-07 14:00:00,-27062.29629145641
2013-11-07 20:00:00,-13956.157679327605
2013-11-08 02:00:00,2441.1768664964666
2013-11-08 08:00:00,10822.278655297005
2013-11-08 14:00:00,12730.951812651201
2013-11-08 20:00:00,15818.148747390487
2013-11-09 02:00:00,22235.430769534385
2013-11-09 08:00:00,31653.83305222888
2013-11-09 14:00:00,41132.26429331117
2013-11-09 20:00:00,49774.58453919647
2013-11-10 02:00:00,54397.204737077765
2013-11-10 08:00:00,53638.365456200656
2013-11-10 14:00:00,50015.74144480393
2013-11-10 20:00:00,43714.12299287665
2013-11-11 02:00:00,32147.20360639862
2013-11-11 08:00:00,26544.655744974727
2013-11-11 14:00:00,49223.78770677963
2013-11-11 20:00:00,56614.678921660285
2013-11-12 02:00:00,30824.656340549594
2013-11-12 08:00:00,26220.12012200299
2013-11-12 14:00:00,18761.113049725962
2013-11-12 20:00:00,9569.743485232568
2013-11-13 02:00:00,-16101.401680452065
2013-11-13 08:00:00,-17292.557751805725
2013-11-13 14:00:00,-28423.144784161566
2013-11-13 20:00:00,-22554.31021084323
2013-11-14 02:00:00,-8772.217223121326
2013-11-14 08:00:00,45709.560675599576
2013-11-14 14:00:00,81609.1458413377
2013-11-14 20:00:00,106244.61951203785
2013-11-15 02:00:00,160920.12511844523
2013-11-15 08:00:00,192053.92408799162
2013-11-15 14:00:00,149669.25011097992
2013-11-15 20:00:00,97348.2776844211
2013-11-16 02:00:00,55104.76657154016
2013-11-16 08:00:00,18323.26091630734
2013-11-16 14:00:00,-18127.39064514791
2013-11-16 20:00:00,-35267.34303549008
2013-11-17 02:00:00,-44706.757312677546
2013-11-17 08:00:00,-48504.783374984414
2013-11-17 14:00:00,-50368.29770807607
2013-11-17 20:00:00,-36394.840339188304
2013-11-18 02:00:00,-25480.926428544986
2013-11-18 08:00:00,531.1024447450958
2013-11-18 14:00:00,25433.95502347018
2013-11-18 20:00:00,20408.651407571346
2013-11-19 02:00:00,1218.9791868219577
2013-11-19 08:00:00,-6011.132624278291
2013-11-19 14:00:00,-5636.563961334103
2013-11-19 20:00:00,-11632.094447697573
2013-11-20 02:00:00,-11893.6394017107
2013-11-20 08:00:00,-30836.2568577481
2013-11-20 14:00:00,-30084.644661904513
2013-11-20 20:00:00,-8184.857382370883
2013-11-21 02:00:00,-3780.9785073853413
2013-11-21 08:00:00,29255.384292649276
2013-11-21 14:00:00,82511.13252995281
2013-11-21 20:00:00,90616.57563453086
2013-11-22 02:00:00,77797.20473556434
2013-11-22 08:00:00,75823.48084144376
2013-11-22 14:00:00,52271.8607818326
2013-11-22 20:00:00,42293.70101080831
2013-11-23 02:00:00,10543.39566866808
2013-11-23 08:00:00,-772.0432349480114
2013-11-23 14:00:00,-28842.796747167788
2013-11-23 20:00:00,-61651.748046087974
2013-11-24 02:00:00,-76450.25269575322
2013-11-24 08:00:00,-71876.00981498703
2013-11-24 14:00:00,-64931.887236828414
2013-11-24 20:00:00,-55080.63136087836
2013-11-25 02:00:00,-54299.07904813061
2013-11-25 08:00:00,-31055.49083081334
2013-11-25 14:00:00,-1908.6708335326407
2013-11-25 20:00:00,63324.97392739336
2013-11-26 02:00:00,72613.71626265036
2013-11-26 08:00:00,41395.920439206275
2013-11-26 14:00:00,18985.42689670866
2013-11-26 20:00:00,46908.80596978337
2013-11-27 02:00:00,51210.06953257905
2013-11-27 08:00:00,14147.660327875941
2013-11-27 14:00:00,-49602.85412634195
2013-11-27 20:00:00,-126335.83224766396
2013-11-28 02:00:00,-157692.78315341595
2013-11-28 08:00:00,-117340.24464911093
2013-11-28 14:00:00,-92006.85300339825
2013-11-28 20:00:00,-74237.18912448056
2013-11-29 02:00:00,-65377.1267989678
2013-11-29 08:00:00,-45104.73034440474
2013-11-29 14:00:00,-25659.95828872277
2013-11-29 20:00:00,-13803.71382346207
2013-11-30 02:00:00,2490.2583015424793
2013-11-30 08:00:00,-5536.583862786701
2013-11-30 14:00:00,-43730.83591749437
2013-11-30 20:00:00,-71645.05913364557
2013-12-01 02:00:00,-71040.39146995953
2013-12-01 08:00:00,-47737.490031293164
2013-12-01 14:00:00,-27522.891666425876
2013-12-01 20:00:00,274.5037449100587
2013-12-02 02:00:00,3501.188068439504
2013-12-02 08:00:00,19752.80854561897
2013-12-02 14:00:00,33097.16791482151
2013-12-02 20:00:00,18963.13447653933
2013-12-03 02:00:00,-3663.7422909319253
2013-12-03 08:00:00,-12788.200318549409
2013-12-03 14:00:00,-21841.45238705884
2013-12-03 20:00:00,-39171.37254181281
2013-12-04 02:00:00,-64399.007068594365
2013-12-04 08:00:00,-67556.62973935489
2013-12-04 14:00:00,-56036.68872941633
2013-12-04 20:00:00,-43800.35071546636
2013-12-05 02:00:00,-53328.60004302734
2013-12-05 08:00:00,-69365.11597804335
2013-12-05 14:00:00,-63110.5595602315
2013-12-05 20:00:00,-54363.4349622523
2013-12-06 02:00:00,-40299.57396344195
2013-12-06 08:00:00,-34280.309125634776
2013-12-06 14:00:00,-41720.906883559524
2013-12-06 20:00:00,-41131.148858965156
2013-12-07 02:00:00,-36417.7532197126
2013-12-07 08:00:00,-31265.931463117537
2013-12-07 14:00:00,-13277.31944118576
2013-12-07 20:00:00,-9111.414417233824
2013-12-08 02:00:00,-12057.60127910957
2013-12-08 08:00:00,-8104.2788699794
2013-12-08 14:00:00,17956.659475561686
2013-12-08 20:00:00,38212.043232526536
2013-12-09 02:00:00,55775.27274749946
2013-12-09 08:00:00,71580.91236346375
2013-12-09 14:00:00,91198.60927627911
2013-12-09 20:00:00,81423.41672744074
2013-12-10 02:00:00,73626.50276296918
2013-12-10 08:00:00,106531.23036724524
2013-12-10 14:00:00,122054.26539636157
2013-12-10 20:00:00,120349.47272306409
2013-12-11 02:00:00,96237.65829667095
2013-12-11 08:00:00,53625.19403563152
2013-12-11 14:00:00,-10765.268341108102
2013-12-11 20:00:00,-81936.97199563016
2013-12-12 02:00:00,-120503.96967527275
2013-12-12 08:00:00,-140940.50229385126
2013-12-12 14:00:00,-114966.28432106937
